Gender,Education_Level,Qualification,Experience,Category,JobRole,PrimarySkill,Location,Salary
Male,Bachelor,B.Tech,0,IT,Software Engineer,Java,Bangalore,320000
Female,Bachelor,BCA,1,IT,Frontend Developer,React,Chennai,360000
Male,Master,MCA,2,IT,Backend Developer,Node.js,Hyderabad,520000
Female,Master,MSc,3,IT,Data Scientist,Python,Pune,720000
Male,Bachelor,B.Tech,1,IT,DevOps Engineer,Docker,Bangalore,460000
Male,Bachelor,B.Tech,2,IT,Cloud Engineer,AWS,Hyderabad,600000
Female,Master,MSc,4,IT,Machine Learning Engineer,TensorFlow,Pune,900000
Male,Bachelor,B.Tech,5,IT,Data Engineer,Python,Bangalore,1000000
Female,Bachelor,B.Tech,3,IT,Cybersecurity Analyst,Cybersecurity,Hyderabad,750000
Male,Bachelor,B.Tech,4,IT,Full Stack Developer,JavaScript,Chennai,800000
Male,Master,M.E/M.Tech,5,IT,Full Stack Developer,React,Bangalore,1250000
Female,Bachelor,BCA,2,IT,Frontend Developer,JavaScript,Mumbai,680000
Male,Diploma,Diploma in IT,10,NON_IT,Sales Manager,Sales Strategy,Chennai,950000
Female,Master,MBA,3,NON_IT,HR Executive,Communication,Delhi,520000
Male,Bachelor,B.Tech / B.E,1,IT,Software Engineer,Java,Hyderabad,550000
Female,Master,MSc CS,7,IT,Data Scientist,Python,Pune,1450000
Male,Bachelor,BBA,4,NON_IT,Marketing Executive,Digital Marketing,Bangalore,620000
Female,Bachelor,B.Sc,0,IT,Mobile App Developer,JavaScript,Chennai,420000
Male,Diploma,Diploma in Computer Engineering,8,IT,DevOps Engineer,Docker,Mumbai,1550000
Female,Master,MCA,6,IT,Cloud Engineer,AWS,Delhi,1320000
Male,Bachelor,B.Com,12,NON_IT,Finance Analyst,Financial Analysis,Hyderabad,1100000
Female,Bachelor,B.Tech / B.E,4,IT,Backend Developer,Node.js,Bangalore,980000
Male,Master,M.E/M.Tech,15,IT,Data Engineer,SQL,Pune,2200000
Female,Diploma,Diploma in IT,2,IT,Frontend Developer,React,Chennai,580000
Male,Bachelor,BCA,3,IT,Software Engineer,Python,Mumbai,720000
Female,Master,MBA,8,NON_IT,Business Analyst,Excel,Bangalore,1250000
Male,Bachelor,B.Sc,5,IT,Machine Learning Engineer,TensorFlow,Delhi,1150000
